start_s,text
1004,ひええええ
1004,ひぇ
1004,ん…？
1004,おっも
1005,oh...
1005,わぉ…
1005,！？
1005,なんだと・・・？
1006,えっ
1006,！？
1006,獅子王の10倍じゃん
1007,わぁ
1008,おおう...
1008,！？
1008,ぉぉぅ…
1008,わぁ…
1009,カイジかな？
1009,ｗ
1010,住宅ローンかな
1010,突然のきつい報告
1010,い、家でも建てたんだよ・・・
1011,はんぱねぇ
1011,おもいんよ
1011,えぇ？
1012,頑張って、めっちゃ頑張って
1013,軽くないんだよなぁ
1013,！？
1013,ヘビーですね
1013,7000万弱は返せるのか・・・？
1013,ええw
1014,家のローンかな？
1014,経営者なのかな
1016,7000万はすごいなｗ
1017,急にクソ重たい
1017,何をしたんだ！？
1017,！？と思ったけど起業かした
1018,漫画みたいな借金
1018,破産しましょう
1019,Foo…
1019,獅子王の10倍の戦闘力
1019,クリスさんの１０倍か
1020,なにをしたんや...
1021,ヘビィすぎる…
1024,えっ
1024,このご時世大変や
1025,ヘヴィな人生だな
1025,オレの住宅ローンよりすごいやん…
1025,え…
1026,ローンかな…
1027,超がつくほどヘビー
1028,何年かかるんだ
1028,家買ったんか
1029,勤め人では返せないよ。。
1030,起業とかではなく・・・？
1031,えぐ
1032,７０００万は自己破産すべきだけどなぁ。
1033,ジンバブエドルなら…7000万ジンバブエドルなら・・・！
1039,起業かな？
1039,家買ったとかなら
1040,自己破産できないのってｗｗ
1041,会社倒産したんかしら
1042,ローンではないのかな？
1044,ローンであって欲しいと切に願う
1044,企業失敗やろな
1046,臓器ですかね
1048,経営者とかですかね…？
1049,会社経営かしら…
1050,土地付きなら都内の一軒家にしてはちょっと安いかな・・・
1052,家買ったどころじゃないなぁ
1053,FXとかも無理だよね
1053,家とか、事業用とか、前向きなやつであってくれ…
1058,FXとかだと無理なんよね
1059,倒産とかかな
1059,連帯保証人がいるとキツイ
1062,へー
1063,元地球の人かな？
1066,事業失敗は自己破産できるね
1068,ローンなら組めるのすげぇが
1068,ギャンブルで7000万は何やったんだ
1073,返すあてがある借金の可能性もあるか
1074,家の購入じゃないかな？（借金＝ローンを抱えた
1074,ギャンブルであってもいちおう弁護士に相談に行ってみるといい
1076,デリバティブは怖いんだよ；；
1076,へー
1076,あら以外に厳しい
1077,自己破産するとどうなるのかよく分かってない
1078,きびしいなぁ
1078,それは自業自得なので
1082,負債なのか資産てきなものなのか
1085,こんな世の中ですしね、世知辛い
1090,がんばえー
1090,年末ジャンボあてるか
1092,がんばれ！
1093,頑張って返してください
1094,がんばれ♡がんばれ♡
1098,あたしは後2500万かな…
1100,がんばれ！
1103,頑張って(返して)ください…
1104,明るい借金だといいな...
1105,頑張って！！
1109,がんばれ！！！！
1110,がんばれ:heart_suit:がんばれ:heart_suit:
1111,がんばって！！
1114,事業をはじめるための借入ならいいですけどね。
1114,モルカー万能論
1115,がんばれー！
1115,事業やっていて、融資７０００万とかならあれかも
1115,がんばれ！！
1115,PUIPUI
1116,やさしいなｗ
1116,PUI　PUI
1117,モルカーｗ
1118,そこはるかこさんの配信でしょ！
1118,モルカーw
1118,ナイスアドバイス
1119,心にPUIPUI!
1120,PUIPUI
1121,モルカーｗ
1122,夏に劇場版モルカーやりますね
1123,がんばれ！
1125,強く生きて…！
1125,ご武運を。
1126,モルカー劇場版あるらしいですね！
